correct_answer,answer
Saxophone,Clarinet
Squeak,Oboe
Scissors,Chime
Writing,Laughter
Computer_keyboard,Bark
Fireworks,Knock
Knock,Acoustic_guitar
Burping_or_eructation,Electric_piano
Squeak,Fireworks
Hi-hat,Scissors
Burping_or_eructation,Cough
Cowbell,Flute
Writing,Squeak
Cough,Shatter
Keys_jangling,Fart
Bass_drum,Snare_drum
Gong,Writing
Telephone,Flute
Microwave_oven,Writing
Gunshot_or_gunfire,Trumpet
Keys_jangling,Hi-hat
Trumpet,Oboe
Meow,Bark
Telephone,Bass_drum
Tearing,Fart
Double_bass,Bass_drum
Squeak,Cough
Burping_or_eructation,Meow
Violin_or_fiddle,Fireworks
Snare_drum,Shatter
Squeak,Drawer_open_or_close
Hi-hat,Snare_drum
Microwave_oven,Drawer_open_or_close
Fart,Cough
Fireworks,Burping_or_eructation
Laughter,Violin_or_fiddle
Microwave_oven,Tearing
Squeak,Writing
Acoustic_guitar,Flute
Double_bass,Acoustic_guitar
Fireworks,Gunshot_or_gunfire
Hi-hat,Shatter
Meow,Cough
Shatter,Tearing
Glockenspiel,Squeak
Writing,Tearing
Telephone,Cowbell
Microwave_oven,Shatter
Tearing,Shatter
Microwave_oven,Fart
Squeak,Laughter
Cello,Laughter
Microwave_oven,Squeak
Drawer_open_or_close,Fireworks
Flute,Clarinet
Squeak,Writing
Saxophone,Laughter
Tearing,Shatter
Writing,Knock
Saxophone,Gunshot_or_gunfire
Telephone,Flute
Hi-hat,Tearing
Bass_drum,Double_bass
Burping_or_eructation,Cough
Telephone,Fart
Knock,Fart
Laughter,Applause
Hi-hat,Snare_drum
Squeak,Clarinet
Burping_or_eructation,Knock
Chime,Squeak
Trumpet,Squeak
Writing,Fireworks
Keys_jangling,Tearing
Hi-hat,Cough
Cello,Trumpet
Microwave_oven,Tearing
Tearing,Shatter
Acoustic_guitar,Cello
Tearing,Shatter
Tearing,Gunshot_or_gunfire
Shatter,Gunshot_or_gunfire
Acoustic_guitar,Knock
Laughter,Squeak
Shatter,Fireworks
Flute,Saxophone
Cough,Applause
Snare_drum,Shatter
Shatter,Fart
Drawer_open_or_close,Fart
Fireworks,Writing
Scissors,Writing
Fireworks,Applause
Meow,Laughter
Gunshot_or_gunfire,Fart
Computer_keyboard,Writing
Fart,Saxophone
Finger_snapping,Tearing
Burping_or_eructation,Gunshot_or_gunfire
Finger_snapping,Drawer_open_or_close
Shatter,Writing
Meow,Trumpet
Scissors,Snare_drum
Drawer_open_or_close,Knock
Burping_or_eructation,Cough
Cough,Microwave_oven
Hi-hat,Tearing
Tearing,Shatter
Bark,Applause
Gunshot_or_gunfire,Applause
Drawer_open_or_close,Fireworks
Flute,Fireworks
Trumpet,Laughter
Squeak,Bark
Bus,Fireworks
Meow,Fart
Bass_drum,Snare_drum
Clarinet,Oboe
Gong,Cello
Laughter,Trumpet
Snare_drum,Gunshot_or_gunfire
Bass_drum,Snare_drum
Squeak,Writing
Cello,Gong
Hi-hat,Gunshot_or_gunfire
Double_bass,Laughter
Shatter,Applause
Squeak,Drawer_open_or_close
Tambourine,Squeak
Computer_keyboard,Double_bass
Trumpet,Applause
Fireworks,Squeak
Cough,Laughter
Meow,Flute
Cough,Laughter
Meow,Trumpet
Gong,Acoustic_guitar
Shatter,Tearing
Laughter,Bus
Clarinet,Fart
Cough,Snare_drum
Chime,Electric_piano
Gong,Cello
Cowbell,Fart
Bark,Tambourine
Cello,Double_bass
Burping_or_eructation,Writing
Snare_drum,Laughter
Saxophone,Clarinet
Snare_drum,Knock
Hi-hat,Shatter
Tambourine,Hi-hat
Microwave_oven,Drawer_open_or_close
Shatter,Drawer_open_or_close
Applause,Gunshot_or_gunfire
Chime,Keys_jangling
Double_bass,Knock
Laughter,Fart
Hi-hat,Shatter
Keys_jangling,Writing
Applause,Saxophone
Tearing,Writing
Tearing,Gunshot_or_gunfire
Cowbell,Violin_or_fiddle
Drawer_open_or_close,Snare_drum
Drawer_open_or_close,Computer_keyboard
Knock,Gunshot_or_gunfire
Tearing,Writing
Cough,Gong
Bark,Applause
Fart,Snare_drum
Computer_keyboard,Bass_drum
Gunshot_or_gunfire,Shatter
Cello,Bass_drum
Tambourine,Tearing
Gong,Double_bass
Gunshot_or_gunfire,Snare_drum
Keys_jangling,Drawer_open_or_close
Shatter,Drawer_open_or_close
Clarinet,Flute
Microwave_oven,Shatter
Flute,Oboe
Knock,Snare_drum
Bus,Fireworks
Microwave_oven,Snare_drum
Fart,Shatter
Writing,Scissors
Squeak,Fart
Squeak,Violin_or_fiddle
Chime,Fireworks
Finger_snapping,Gunshot_or_gunfire
Bass_drum,Fireworks
Burping_or_eructation,Cough
Tearing,Hi-hat
Telephone,Flute
Scissors,Tambourine
Cowbell,Laughter
Flute,Clarinet
Squeak,Fart
Microwave_oven,Snare_drum
Writing,Gong
Computer_keyboard,Writing
Hi-hat,Squeak
Flute,Saxophone
Hi-hat,Applause
Gong,Trumpet
Chime,Laughter
Laughter,Cough
Gunshot_or_gunfire,Shatter
Laughter,Saxophone
Telephone,Meow
Cough,Writing
Flute,Acoustic_guitar
Double_bass,Knock
Acoustic_guitar,Fart
Fart,Cough
Telephone,Bark
Finger_snapping,Knock
Fireworks,Shatter
Bass_drum,Keys_jangling
Trumpet,Harmonica
Gunshot_or_gunfire,Bass_drum
Violin_or_fiddle,Writing
Gong,Cello
Fireworks,Snare_drum
Laughter,Trumpet
Cello,Double_bass
Violin_or_fiddle,Snare_drum
Double_bass,Saxophone
Squeak,Knock
Bus,Fireworks
Clarinet,Oboe
Shatter,Tearing
Gong,Double_bass
Computer_keyboard,Knock
Microwave_oven,Fireworks
Tearing,Hi-hat
Tearing,Writing
Fireworks,Tearing
Chime,Squeak
Bark,Bass_drum
Fireworks,Knock
Burping_or_eructation,Gong
Laughter,Cello
Cough,Drawer_open_or_close
Snare_drum,Fart
Fart,Cello
Snare_drum,Bass_drum
Laughter,Cough
Microwave_oven,Shatter
Bass_drum,Saxophone
Chime,Squeak
Drawer_open_or_close,Microwave_oven
Cello,Double_bass
Cough,Laughter
Bark,Writing
Harmonica,Trumpet
Knock,Acoustic_guitar
Flute,Acoustic_guitar
Gong,Bus
Tearing,Knock
Meow,Trumpet
Gong,Acoustic_guitar
Tearing,Knock
Writing,Tearing
Bass_drum,Hi-hat
Flute,Bark
Cough,Fart
Tearing,Laughter
Tambourine,Hi-hat
Fart,Shatter
Cello,Trumpet
Microwave_oven,Tambourine
Knock,Cello
Shatter,Knock
Keys_jangling,Scissors
Harmonica,Oboe
Cough,Laughter
Fireworks,Writing
Squeak,Laughter
Scissors,Shatter
Squeak,Applause
Cello,Violin_or_fiddle
Violin_or_fiddle,Laughter
Clarinet,Oboe
Knock,Gong
Meow,Laughter
Cough,Burping_or_eructation
Snare_drum,Laughter
Keys_jangling,Tambourine
Squeak,Meow
Bark,Acoustic_guitar
Drawer_open_or_close,Tearing
Squeak,Cough
Hi-hat,Fart
Tearing,Fart
Acoustic_guitar,Saxophone
Meow,Knock
Squeak,Knock
Knock,Saxophone
Fart,Laughter
Fart,Laughter
Clarinet,Oboe
Squeak,Applause
Squeak,Shatter
Squeak,Flute
Squeak,Writing
Trumpet,Cello
Knock,Cello
Drawer_open_or_close,Knock
Fart,Tearing
Shatter,Tearing
Squeak,Drawer_open_or_close
Gunshot_or_gunfire,Finger_snapping
Chime,Laughter
Telephone,Cello
Gunshot_or_gunfire,Snare_drum
Scissors,Hi-hat
Fireworks,Knock
Cello,Fireworks
Snare_drum,Knock
Meow,Violin_or_fiddle
Acoustic_guitar,Knock
Telephone,Trumpet
Cough,Laughter
Trumpet,Oboe
Cough,Harmonica
Writing,Shatter
Cough,Laughter
Snare_drum,Bass_drum
Finger_snapping,Tearing
Flute,Violin_or_fiddle
Bark,Double_bass
Chime,Shatter
Telephone,Writing
Gong,Acoustic_guitar
Writing,Tambourine
Violin_or_fiddle,Knock
Squeak,Knock
Gong,Electric_piano
Telephone,Bass_drum
Knock,Bass_drum
Tearing,Applause
Gong,Bark
Fireworks,Snare_drum
Keys_jangling,Writing
Clarinet,Oboe
Keys_jangling,Hi-hat
Cello,Bass_drum
Flute,Finger_snapping
Acoustic_guitar,Harmonica
Meow,Drawer_open_or_close
Drawer_open_or_close,Writing
Acoustic_guitar,Clarinet
Scissors,Hi-hat
Writing,Cough
Gunshot_or_gunfire,Fart
Meow,Laughter
Squeak,Tearing
Fart,Bass_drum
Knock,Fireworks
Bus,Drawer_open_or_close
Snare_drum,Tearing
Gong,Flute
Bark,Writing
Saxophone,Flute
Telephone,Harmonica
Writing,Computer_keyboard
Microwave_oven,Drawer_open_or_close
Tearing,Laughter
Drawer_open_or_close,Writing
Cello,Flute
Burping_or_eructation,Knock
Gong,Bus
Violin_or_fiddle,Saxophone
Acoustic_guitar,Cello
Gong,Oboe
Snare_drum,Cough
Squeak,Shatter
Acoustic_guitar,Double_bass
Tearing,Writing
Writing,Clarinet
Scissors,Shatter
Bark,Flute
Writing,Cello
Clarinet,Flute
Cough,Knock
Computer_keyboard,Writing
Tambourine,Snare_drum
Fart,Applause
Cough,Drawer_open_or_close
Trumpet,Applause
Cowbell,Tambourine
Cough,Squeak
Flute,Acoustic_guitar
Knock,Clarinet
Shatter,Tearing
Bark,Cowbell
Meow,Writing
Electric_piano,Violin_or_fiddle
Fireworks,Squeak
Hi-hat,Tambourine
Acoustic_guitar,Bass_drum
Flute,Clarinet
Microwave_oven,Knock
Chime,Squeak
Tearing,Writing
Fireworks,Bass_drum
Writing,Scissors
Flute,Saxophone
Microwave_oven,Gunshot_or_gunfire
Trumpet,Computer_keyboard
Gong,Clarinet
Bus,Writing
Tambourine,Snare_drum
Electric_piano,Saxophone
Squeak,Computer_keyboard
Laughter,Cough
Finger_snapping,Snare_drum
Bus,Tearing
Bark,Flute
Flute,Acoustic_guitar
Cello,Flute
Finger_snapping,Tearing
Meow,Laughter
Squeak,Applause
Applause,Fart
Shatter,Tearing
Shatter,Keys_jangling
Fireworks,Violin_or_fiddle
Microwave_oven,Tearing
Tearing,Writing
Squeak,Applause
Electric_piano,Double_bass
Saxophone,Flute
Writing,Tearing
Knock,Acoustic_guitar
Keys_jangling,Tambourine
Laughter,Cough
Finger_snapping,Hi-hat
Bus,Double_bass
Flute,Saxophone
Computer_keyboard,Writing
Laughter,Cough
Shatter,Applause
Clarinet,Violin_or_fiddle
Microwave_oven,Writing
Bark,Fireworks
Fart,Cough
Fart,Gong
Laughter,Writing
Harmonica,Tambourine
Glockenspiel,Gong
Double_bass,Bass_drum
Burping_or_eructation,Laughter
Knock,Fart
Fireworks,Snare_drum
Gong,Double_bass
Trumpet,Meow
Computer_keyboard,Tearing
Flute,Applause
Fart,Tearing
Cowbell,Snare_drum
Scissors,Tearing
Hi-hat,Shatter
Tearing,Gunshot_or_gunfire
Fart,Drawer_open_or_close
Gong,Shatter
Knock,Bass_drum
Bark,Fart
Finger_snapping,Tearing
Gong,Fart
Cough,Tearing
Shatter,Tearing
Burping_or_eructation,Acoustic_guitar
Bus,Writing
Gong,Trumpet
Scissors,Writing
Knock,Cello
Bark,Laughter
Snare_drum,Fireworks
Tearing,Writing
Snare_drum,Shatter
Gunshot_or_gunfire,Knock
Writing,Shatter
