fname       ,label
01fd22ba.wav,Squeak Chime Cello
01fe4a01.wav,Trumpet Burping_or_eructation Gong
02107093.wav,Trumpet Fireworks Cough
02182ebd.wav,Flute Tearing Laughter
02198549.wav,Tearing Fart Hi-hat
0220d48a.wav,Violin_or_fiddle Knock Flute
02210ee7.wav,Oboe Saxophone Acoustic_guitar
022170df.wav,Applause Cello Cello
023431b2.wav,Applause Double_bass Gong
023e7db3.wav,Cough Writing Acoustic_guitar
023eab1f.wav,Fireworks Glockenspiel Snare_drum
02482fdc.wav,Drawer_open_or_close Applause Double_bass
024e45b1.wav,Microwave_oven Squeak Meow
026820e6.wav,Saxophone Bass_drum Hi-hat
02697329.wav,Laughter Burping_or_eructation Hi-hat
027a8b14.wav,Telephone Saxophone Meow
027dbe3e.wav,Clarinet Applause Gong
027f06cc.wav,Violin_or_fiddle Tearing Gong
028278f0.wav,Tearing Keys_jangling Hi-hat
028db587.wav,Squeak Violin_or_fiddle Applause
02960f07.wav,Snare_drum Fart Gong
0298b2c6.wav,Oboe Violin_or_fiddle Double_bass
02a0eb3c.wav,Applause Gong Acoustic_guitar
02ad476f.wav,Oboe Tambourine Laughter
02af55f6.wav,Laughter Trumpet Violin_or_fiddle
02c3af87.wav,Violin_or_fiddle Fart Fart
02c46d0b.wav,Hi-hat Saxophone Flute
02c6f112.wav,Acoustic_guitar Saxophone Oboe
02cb4d01.wav,Cough Violin_or_fiddle Acoustic_guitar
02d5dc55.wav,Fart Fireworks Bus
02d9b93c.wav,Shatter Gong Writing
02df943b.wav,Violin_or_fiddle Finger_snapping Glockenspiel
02e99b5e.wav,Cello Electric_piano Cough
02f8d82c.wav,Microwave_oven Snare_drum Laughter
02fb6c5b.wav,Burping_or_eructation Glockenspiel Chime
0300b76b.wav,Hi-hat Hi-hat Oboe
0303e3a5.wav,Meow Computer_keyboard Flute
03079bb2.wav,Cough Cowbell Saxophone
030bacc6.wav,Microwave_oven Gong Scissors
030db750.wav,Microwave_oven Writing Applause
0310089a.wav,Violin_or_fiddle Laughter Fireworks
0316ff65.wav,Harmonica Bark Shatter
03199dbe.wav,Harmonica Trumpet Flute
031b6d8f.wav,Glockenspiel Acoustic_guitar Gong
03319789.wav,Shatter Drawer_open_or_close Telephone
033a0cbe.wav,Shatter Fart Scissors
0345130c.wav,Microwave_oven Burping_or_eructation Shatter
034b1b41.wav,Snare_drum Glockenspiel Snare_drum
034c1c69.wav,Glockenspiel Writing Violin_or_fiddle
035e420f.wav,Cough Hi-hat Knock
036c1697.wav,Drawer_open_or_close Shatter Gunshot_or_gunfire
036f228c.wav,Burping_or_eructation Drawer_open_or_close Shatter
03786473.wav,Electric_piano Cough Writing
037e7b6f.wav,Bass_drum Bass_drum Saxophone
0381efd3.wav,Knock Clarinet Microwave_oven
038397e9.wav,Double_bass Fart Writing
03858091.wav,Trumpet Finger_snapping Burping_or_eructation
03888259.wav,Knock Violin_or_fiddle Acoustic_guitar
0394e0d4.wav,Cough Acoustic_guitar Applause
03953467.wav,Gunshot_or_gunfire Gong Gunshot_or_gunfire
039d36e9.wav,Gong Tearing Keys_jangling
03ab8828.wav,Applause Hi-hat Gong
03af84e5.wav,Fart Keys_jangling Microwave_oven
03b7faf1.wav,Tearing Flute Applause
03c1c5f4.wav,Cowbell Keys_jangling Shatter
03c5bfbb.wav,Microwave_oven Meow Tearing
03d2bdca.wav,Shatter Tearing Trumpet
03d5a89c.wav,Tambourine Shatter Meow
03e1e393.wav,Writing Tearing Cough
03e2ecd9.wav,Flute Snare_drum Cough
03e860b2.wav,Cowbell Violin_or_fiddle Double_bass
03f2e21f.wav,Applause Double_bass Bus
03f39877.wav,Electric_piano Violin_or_fiddle Hi-hat
03fafd5b.wav,Cowbell Snare_drum Knock
03fccc98.wav,Bass_drum Clarinet Bass_drum
0402129f.wav,Tearing Microwave_oven Cello
040258a9.wav,Bass_drum Acoustic_guitar Clarinet
041521b0.wav,Fart Fart Hi-hat
04154da3.wav,Gunshot_or_gunfire Burping_or_eructation Shatter
0419676b.wav,Fireworks Clarinet Writing
041983cd.wav,Gong Tearing Saxophone
04199401.wav,Violin_or_fiddle Oboe Fart
041c68ec.wav,Knock Bass_drum Acoustic_guitar
041c7581.wav,Scissors Bus Bus
041eed83.wav,Electric_piano Gong Laughter
0422b811.wav,Cello Fireworks Telephone
0448c553.wav,Squeak Double_bass Bus
0448d513.wav,Cowbell Scissors Saxophone
044aef8a.wav,Drawer_open_or_close Clarinet Squeak
045931e0.wav,Laughter Clarinet Telephone
0459ee65.wav,Drawer_open_or_close Burping_or_eructation Fireworks
045c6122.wav,Squeak Harmonica Clarinet
045c9ea8.wav,Acoustic_guitar Bass_drum Saxophone
04605af5.wav,Trumpet Fireworks Gong
046250d3.wav,Fart Bass_drum Double_bass
046486df.wav,Knock Shatter Knock
0468ad68.wav,Fart Writing Bus
046e86b5.wav,Scissors Cough Cough
047b5857.wav,Clarinet Hi-hat Telephone
047bf19c.wav,Saxophone Oboe Flute
047e0d21.wav,Tearing Knock Bark
048470a5.wav,Tearing Writing Snare_drum
04a301e9.wav,Bass_drum Telephone Fireworks
04ab46a9.wav,Burping_or_eructation Saxophone Bark
04ab4e22.wav,Cough Keys_jangling Keys_jangling
04b031df.wav,Cough Flute Fireworks
04b249bd.wav,Bass_drum Clarinet Fireworks
04b7ef77.wav,Bark Fart Acoustic_guitar
04bdae57.wav,Flute Flute Gong
04c2ed9c.wav,Acoustic_guitar Shatter Scissors
04d15abd.wav,Applause Tearing Applause
04dbef05.wav,Saxophone Oboe Tearing
04dddbf5.wav,Computer_keyboard Laughter Scissors
04ecda67.wav,Finger_snapping Meow Clarinet
04ed8568.wav,Squeak Oboe Trumpet
04f232c6.wav,Double_bass Bass_drum Hi-hat
04f46a27.wav,Cello Cello Oboe
04f85a49.wav,Knock Acoustic_guitar Double_bass
04fb8280.wav,Harmonica Shatter Acoustic_guitar
0509ce2f.wav,Tearing Drawer_open_or_close Clarinet
0520faf4.wav,Tearing Squeak Applause
05296d2a.wav,Trumpet Saxophone Finger_snapping
0529d428.wav,Laughter Finger_snapping Writing
0539bb41.wav,Tambourine Double_bass Drawer_open_or_close
053a5fc6.wav,Violin_or_fiddle Hi-hat Hi-hat
053b4c56.wav,Clarinet Knock Double_bass
053e7bb5.wav,Chime Trumpet Burping_or_eructation
054508f3.wav,Hi-hat Bark Burping_or_eructation
0548124b.wav,Gong Saxophone Cough
054dbf39.wav,Fart Fart Bass_drum
054eeab6.wav,Saxophone Gong Trumpet
05562991.wav,Oboe Glockenspiel Acoustic_guitar
0558af35.wav,Writing Applause Snare_drum
0568741b.wav,Shatter Tambourine Tearing
05723b3a.wav,Applause Writing Laughter
057425e6.wav,Acoustic_guitar Flute Applause
0576d7ba.wav,Saxophone Drawer_open_or_close Cough
057c2963.wav,Knock Knock Cowbell
0586f0e0.wav,Computer_keyboard Cello Finger_snapping
058a0e87.wav,Glockenspiel Violin_or_fiddle Trumpet
058e63ea.wav,Bass_drum Hi-hat Shatter
0594d8c2.wav,Oboe Electric_piano Tambourine
059d5420.wav,Oboe Tearing Clarinet
059ffef4.wav,Hi-hat Burping_or_eructation Snare_drum
05a15a14.wav,Oboe Fireworks Harmonica
05ad10fb.wav,Gong Gunshot_or_gunfire Trumpet
05ae0583.wav,Bass_drum Cowbell Burping_or_eructation
05c2056b.wav,Electric_piano Squeak Tearing
05c8453f.wav,Double_bass Telephone Trumpet
05cae96f.wav,Drawer_open_or_close Tearing Computer_keyboard
05cc88d2.wav,Violin_or_fiddle Writing Hi-hat
05ccb0ff.wav,Cello Snare_drum Gong
05f3c709.wav,Laughter Tambourine Saxophone
05f40290.wav,Laughter Hi-hat Snare_drum
05fc58ee.wav,Oboe Laughter Saxophone
05fca090.wav,Writing Hi-hat Acoustic_guitar
060428bd.wav,Bus Applause Bark
0608d8b7.wav,Tearing Double_bass Tearing
06123abf.wav,Acoustic_guitar Gunshot_or_gunfire Snare_drum
062c3119.wav,Clarinet Shatter Microwave_oven
062f9f91.wav,Squeak Hi-hat Oboe
06308a6b.wav,Fireworks Bus Knock
0630cf5e.wav,Tearing Bass_drum Applause
0638da1a.wav,Chime Gunshot_or_gunfire Writing
063d81f8.wav,Violin_or_fiddle Trumpet Snare_drum
06718b47.wav,Squeak Scissors Trumpet
0671a98a.wav,Bass_drum Snare_drum Tearing
06775f3c.wav,Shatter Snare_drum Cowbell
0678a571.wav,Shatter Tambourine Glockenspiel
067d6a04.wav,Bass_drum Laughter Tambourine
06827666.wav,Cough Telephone Telephone
0682b1f6.wav,Laughter Saxophone Tearing
0689d2f6.wav,Clarinet Clarinet Shatter
069b1efa.wav,Acoustic_guitar Bark Trumpet
069b4384.wav,Gong Snare_drum Clarinet
069e4fb3.wav,Saxophone Cough Acoustic_guitar
06b27161.wav,Shatter Knock Shatter
06bb374e.wav,Snare_drum Cough Computer_keyboard
06bd2694.wav,Saxophone Cowbell Burping_or_eructation
06c33b21.wav,Cowbell Cowbell Fireworks
06c535eb.wav,Snare_drum Flute Keys_jangling
06d4796b.wav,Bark Gunshot_or_gunfire Laughter
06dcd7a0.wav,Cello Violin_or_fiddle Tearing
06e1d866.wav,Shatter Squeak Squeak
06e4a7a3.wav,Cough Clarinet Meow
06e4c394.wav,Snare_drum Double_bass Computer_keyboard
06ee2e39.wav,Acoustic_guitar Cowbell Cello
06faccbf.wav,Laughter Squeak Bus
06fbe4da.wav,Writing Chime Violin_or_fiddle
070096e9.wav,Burping_or_eructation Cello Electric_piano
070204c5.wav,Fireworks Saxophone Saxophone
07038d45.wav,Applause Bass_drum Violin_or_fiddle
07063bc9.wav,Bus Applause Squeak
070fea08.wav,Cough Glockenspiel Fart
0716b51d.wav,Clarinet Acoustic_guitar Oboe
071b2b62.wav,Cello Oboe Gunshot_or_gunfire
071e7724.wav,Violin_or_fiddle Trumpet Laughter
071f4c75.wav,Fart Shatter Tambourine
0722054b.wav,Snare_drum Keys_jangling Keys_jangling
07256457.wav,Laughter Drawer_open_or_close Violin_or_fiddle
0730b080.wav,Clarinet Gong Tambourine
0736d78e.wav,Oboe Electric_piano Cowbell
073d6755.wav,Gong Hi-hat Tearing
0745def5.wav,Fart Gong Saxophone
0751e141.wav,Cello Harmonica Fireworks
0755629f.wav,Oboe Acoustic_guitar Keys_jangling
075591e8.wav,Drawer_open_or_close Drawer_open_or_close Trumpet
0760a9e7.wav,Cello Gunshot_or_gunfire Bark
076176f4.wav,Writing Drawer_open_or_close Trumpet
0761d26b.wav,Acoustic_guitar Meow Cello
07642d1b.wav,Squeak Squeak Chime
07682400.wav,Bus Fireworks Fart
076d3b6c.wav,Violin_or_fiddle Tearing Bass_drum
0776b083.wav,Finger_snapping Saxophone Finger_snapping
07776603.wav,Finger_snapping Flute Trumpet
0779cb34.wav,Finger_snapping Glockenspiel Glockenspiel
077a7711.wav,Snare_drum Scissors Cough
0790d4f8.wav,Meow Cough Applause
079367a7.wav,Fart Hi-hat Flute
07954767.wav,Scissors Shatter Flute
07989042.wav,Tearing Gong Telephone
0799369e.wav,Flute Violin_or_fiddle Oboe
079faac8.wav,Writing Laughter Finger_snapping
07a8ddbf.wav,Keys_jangling Applause Meow
07ab0dcf.wav,Laughter Flute Telephone
07b0fe34.wav,Double_bass Bark Oboe
07b9c04c.wav,Harmonica Hi-hat Cello
07bac4d1.wav,Shatter Hi-hat Tearing
07c4fd98.wav,Clarinet Keys_jangling Bass_drum
07c8463e.wav,Bass_drum Writing Hi-hat
07c95625.wav,Writing Snare_drum Fart
07cf422e.wav,Saxophone Violin_or_fiddle Flute
07cffb09.wav,Trumpet Saxophone Acoustic_guitar
07d5cca9.wav,Knock Cough Tearing
07d62787.wav,Applause Drawer_open_or_close Cello
07dcd326.wav,Writing Saxophone Fireworks
07eef0c0.wav,Violin_or_fiddle Electric_piano Snare_drum
07f06f30.wav,Fireworks Gong Drawer_open_or_close
07f1dab7.wav,Cowbell Bark Writing
07fbde49.wav,Tambourine Gong Violin_or_fiddle
0802d9ec.wav,Fart Tearing Trumpet
080b53cc.wav,Gong Telephone Squeak
081fbfd3.wav,Applause Oboe Bus
082cd9fe.wav,Drawer_open_or_close Scissors Oboe
083bba3c.wav,Burping_or_eructation Double_bass Knock
0841041b.wav,Flute Squeak Tearing
08426322.wav,Tearing Applause Bark
0844d331.wav,Gong Double_bass Harmonica
08593822.wav,Cowbell Drawer_open_or_close Bark
085a9c5b.wav,Cello Writing Writing
087248e6.wav,Bark Flute Trumpet
087ed746.wav,Oboe Bark Computer_keyboard
08854d8c.wav,Fart Squeak Bark
088bb565.wav,Cowbell Trumpet Chime
08904a43.wav,Trumpet Gunshot_or_gunfire Saxophone
08911c36.wav,Hi-hat Laughter Fart
08941c53.wav,Cello Knock Cowbell
0894d11f.wav,Shatter Gong Clarinet
089f1097.wav,Acoustic_guitar Clarinet Chime
089f44b1.wav,Saxophone Knock Snare_drum
08a82608.wav,Saxophone Tearing Cello
08be795d.wav,Squeak Trumpet Gunshot_or_gunfire
08c9a7f7.wav,Squeak Cough Bark
08d23bb8.wav,Knock Squeak Double_bass
08d9501a.wav,Writing Tearing Double_bass
08ddd56e.wav,Knock Knock Writing
08e27974.wav,Bark Writing Trumpet
08ecc0a1.wav,Writing Bark Bark
08f4b16b.wav,Oboe Violin_or_fiddle Gong
08fcf830.wav,Writing Double_bass Gong
0921f1f2.wav,Laughter Squeak Laughter
092a73e5.wav,Clarinet Oboe Hi-hat
092d89a0.wav,Drawer_open_or_close Tearing Bark
093963d5.wav,Knock Shatter Clarinet
0943fc2d.wav,Flute Flute Shatter
09481a4c.wav,Drawer_open_or_close Drawer_open_or_close Meow
095428e8.wav,Electric_piano Violin_or_fiddle Burping_or_eructation
09553ca1.wav,Finger_snapping Knock Violin_or_fiddle
095dd27c.wav,Applause Laughter Snare_drum
0967cebd.wav,Hi-hat Tambourine Gong
0969d9d1.wav,Laughter Keys_jangling Oboe
096c3969.wav,Hi-hat Double_bass Oboe
096fd039.wav,Double_bass Burping_or_eructation Double_bass
0976741c.wav,Writing Violin_or_fiddle Writing
097cdef5.wav,Squeak Harmonica Drawer_open_or_close
0984ea36.wav,Bus Clarinet Bass_drum
0995f876.wav,Trumpet Double_bass Knock
09983766.wav,Tearing Gunshot_or_gunfire Gong
09a14a8e.wav,Clarinet Violin_or_fiddle Shatter
09b3e21c.wav,Clarinet Writing Writing
09c7044c.wav,Drawer_open_or_close Shatter Gong
09c71587.wav,Bus Keys_jangling Knock
09c8f697.wav,Tambourine Trumpet Electric_piano
09c9b50b.wav,Cough Cough Violin_or_fiddle
09cba9de.wav,Harmonica Laughter Gong
09d0535a.wav,Fart Clarinet Laughter
09d2d1c0.wav,Fart Flute Electric_piano
09e5a0ee.wav,Bark Harmonica Electric_piano
09e83f2a.wav,Clarinet Fireworks Cello
09eb9ddb.wav,Double_bass Knock Gunshot_or_gunfire
09ec3afd.wav,Meow Fart Bass_drum
09f02a4a.wav,Fart Trumpet Oboe
09f55e64.wav,Snare_drum Bass_drum Tearing
0a001dfe.wav,Clarinet Telephone Bark
0a00b1a8.wav,Acoustic_guitar Microwave_oven Double_bass
0a0b26cc.wav,Computer_keyboard Gong Acoustic_guitar
0a23fde2.wav,Hi-hat Cowbell Cowbell
0a3d6e55.wav,Saxophone Bass_drum Fireworks
0a429107.wav,Saxophone Tambourine Burping_or_eructation
0a5cbf90.wav,Flute Laughter Meow
0a5f818e.wav,Cowbell Harmonica Oboe
0a6219e5.wav,Squeak Shatter Applause
0a67826b.wav,Oboe Fireworks Fireworks
0a695221.wav,Hi-hat Laughter Gunshot_or_gunfire
0a6ecade.wav,Chime Tambourine Saxophone
0a71e42d.wav,Applause Saxophone Violin_or_fiddle
0a79ddf7.wav,Clarinet Trumpet Acoustic_guitar
0a7c7060.wav,Bus Hi-hat Electric_piano
0a7fbd54.wav,Oboe Bark Gong
0a7ff75b.wav,Burping_or_eructation Meow Applause
0a848902.wav,Cough Saxophone Applause
0a8b7299.wav,Cello Shatter Squeak
0a8d849e.wav,Double_bass Bass_drum Cough
0a979caf.wav,Bark Squeak Harmonica
0aaa4d2f.wav,Bus Applause Hi-hat
0aab4d0f.wav,Cello Snare_drum Electric_piano
0ab56675.wav,Tearing Squeak Squeak
0ab99db4.wav,Squeak Oboe Cello
0acc6947.wav,Clarinet Bark Meow
0ace560e.wav,Laughter Double_bass Bass_drum
0ace703f.wav,Cough Bark Gong
0ad916a0.wav,Gong Saxophone Harmonica
0adf81d5.wav,Tambourine Laughter Bass_drum
0ae1945c.wav,Microwave_oven Cough Cello
0af843ea.wav,Telephone Squeak Double_bass
0b0132c8.wav,Snare_drum Bus Telephone
0b0427e2.wav,Bus Squeak Meow
0b07dc21.wav,Tambourine Gunshot_or_gunfire Cough
0b0df9a0.wav,Tambourine Bark Double_bass
0b157a67.wav,Glockenspiel Acoustic_guitar Double_bass
0b232eb1.wav,Finger_snapping Snare_drum Violin_or_fiddle
0b244358.wav,Tambourine Finger_snapping Tearing
0b273087.wav,Knock Flute Saxophone
0b278db1.wav,Fart Finger_snapping Knock
0b2f18fa.wav,Writing Squeak Tearing
0b321436.wav,Oboe Finger_snapping Bark
0b32ee85.wav,Burping_or_eructation Cough Snare_drum
0b38f744.wav,Microwave_oven Tearing Double_bass
0b3c86c9.wav,Burping_or_eructation Bus Acoustic_guitar
0b430780.wav,Squeak Tearing Electric_piano
0b495758.wav,Squeak Flute Saxophone
0b4bb93c.wav,Flute Glockenspiel Fireworks
0b50d4c8.wav,Meow Cough Laughter
0b58b074.wav,Electric_piano Electric_piano Fireworks
0b58c7e9.wav,Microwave_oven Cough Hi-hat
0b5fb43f.wav,Squeak Oboe Acoustic_guitar
0b62b09f.wav,Harmonica Laughter Gong
0b752229.wav,Knock Oboe Trumpet
0b763e4f.wav,Tearing Cello Shatter
0b79fdea.wav,Harmonica Violin_or_fiddle Bass_drum
0b7b694c.wav,Tambourine Hi-hat Gunshot_or_gunfire
0b8844bd.wav,Harmonica Squeak Knock
0b8b79ad.wav,Shatter Bus Laughter
0b8dfa34.wav,Electric_piano Tambourine Tearing
0b9415cd.wav,Scissors Cello Laughter
0ba34dec.wav,Gong Meow Cello
0baa37ed.wav,Bass_drum Trumpet Laughter
0bb6a21d.wav,Applause Electric_piano Bark
0bb807c0.wav,Burping_or_eructation Applause Trumpet
0bc52ede.wav,Cowbell Knock Tambourine
0bc8ad78.wav,Bus Writing Gong
0bc938fb.wav,Clarinet Knock Bass_drum
0bd5adf9.wav,Squeak Glockenspiel Harmonica
0bdc064a.wav,Snare_drum Saxophone Laughter
0be5aa79.wav,Flute Fireworks Fireworks
0be7620d.wav,Cello Violin_or_fiddle Gong
0beb8325.wav,Violin_or_fiddle Flute Knock
0bec9842.wav,Cough Cowbell Writing
0befc5cb.wav,Squeak Hi-hat Tambourine
0bf9fbd3.wav,Applause Violin_or_fiddle Clarinet
0c13feb9.wav,Knock Applause Keys_jangling
0c1bb3e9.wav,Drawer_open_or_close Laughter Cough
0c1fbece.wav,Bark Fireworks Microwave_oven
0c27bc2d.wav,Meow Cowbell Finger_snapping
0c31ca4c.wav,Drawer_open_or_close Gunshot_or_gunfire Cough
0c3b5861.wav,Fart Squeak Microwave_oven
0c3dfac0.wav,Tambourine Laughter Violin_or_fiddle
0c40bbb0.wav,Acoustic_guitar Oboe Flute
0c4de54a.wav,Cowbell Harmonica Trumpet
0c561099.wav,Fart Glockenspiel Snare_drum
0c58f71a.wav,Fart Bus Squeak
0c654cc0.wav,Bark Trumpet Gunshot_or_gunfire
0c6ccd3a.wav,Trumpet Computer_keyboard Tearing
0c7311f7.wav,Double_bass Bus Writing
0c736a0f.wav,Bass_drum Meow Double_bass
0c7a124d.wav,Snare_drum Flute Snare_drum
0c7a8b1b.wav,Shatter Electric_piano Shatter
0c7c51fa.wav,Acoustic_guitar Clarinet Knock
0c8071a4.wav,Hi-hat Drawer_open_or_close Cowbell
0c80cb97.wav,Drawer_open_or_close Fireworks Cowbell
0c80f6dc.wav,Bass_drum Squeak Trumpet
0c91a6b2.wav,Laughter Knock Computer_keyboard
0c9250b8.wav,Fireworks Laughter Gong
0ca5bba6.wav,Bass_drum Knock Flute
0cb0d029.wav,Violin_or_fiddle Chime Clarinet
0cb48b8e.wav,Bus Oboe Violin_or_fiddle
0cb5b4a8.wav,Finger_snapping Cowbell Burping_or_eructation
0cbe7e42.wav,Gunshot_or_gunfire Cough Squeak
0cc0af58.wav,Cowbell Snare_drum Microwave_oven
0cd0ec27.wav,Chime Gong Fireworks
0cd0f2ef.wav,Cough Knock Microwave_oven
0ce09e4a.wav,Violin_or_fiddle Harmonica Bass_drum
0ce127f9.wav,Bus Cowbell Flute
0ceaab13.wav,Laughter Tearing Violin_or_fiddle
0ceb2140.wav,Tearing Trumpet Cough
0cec29e8.wav,Applause Laughter Microwave_oven
0cefa487.wav,Chime Double_bass Shatter
0cf2bcda.wav,Flute Chime Applause
0cf319fa.wav,Trumpet Violin_or_fiddle Cowbell
0cf34718.wav,Cello Laughter Gong
0cf34f6e.wav,Cough Knock Meow
0d056139.wav,Oboe Acoustic_guitar Applause
0d1bf5b4.wav,Cough Clarinet Meow
0d20e8f7.wav,Finger_snapping Squeak Writing
0d23dd3a.wav,Harmonica Hi-hat Trumpet
0d242640.wav,Gong Flute Acoustic_guitar
0d2d13b7.wav,Squeak Bass_drum Oboe
0d34cc5a.wav,Tearing Double_bass Tambourine
0d415918.wav,Tambourine Bass_drum Shatter
0d449433.wav,Acoustic_guitar Bus Flute
0d4ca47e.wav,Hi-hat Scissors Writing
0d5bb142.wav,Double_bass Tearing Gunshot_or_gunfire
0d6e2584.wav,Microwave_oven Knock Laughter
0d7549a4.wav,Scissors Hi-hat Shatter
0d7f7f76.wav,Harmonica Squeak Trumpet
0d89b6a4.wav,Applause Cough Trumpet
0d8d0cbd.wav,Clarinet Double_bass Trumpet
0d90d498.wav,Fart Keys_jangling Bass_drum
0d950fc6.wav,Laughter Hi-hat Applause
0d976b22.wav,Bass_drum Cough Tearing
0d98574f.wav,Cello Glockenspiel Laughter
0d99cfde.wav,Fart Writing Laughter
0d9de265.wav,Writing Fart Fireworks
0da2acf4.wav,Cowbell Hi-hat Laughter
0da592f2.wav,Gunshot_or_gunfire Squeak Tearing
0daa7a68.wav,Cowbell Hi-hat Finger_snapping
0db0fb36.wav,Tambourine Laughter Violin_or_fiddle
0db21ee8.wav,Gunshot_or_gunfire Scissors Drawer_open_or_close
0db35f79.wav,Telephone Gong Scissors
0db65bf4.wav,Electric_piano Violin_or_fiddle Bass_drum
0db6ac5f.wav,Drawer_open_or_close Applause Writing
0dbb37b3.wav,Harmonica Laughter Squeak
0dc193fe.wav,Laughter Clarinet Tearing
0dc7fd72.wav,Tearing Violin_or_fiddle Tambourine
0dd0e034.wav,Bass_drum Hi-hat Snare_drum
0dd68380.wav,Tearing Glockenspiel Trumpet
0de4b9f0.wav,Gong Bass_drum Writing
0def8cc7.wav,Harmonica Shatter Laughter
0df38dfd.wav,Applause Tearing Glockenspiel
0e06ba41.wav,Bus Knock Oboe
0e12c15c.wav,Snare_drum Trumpet Applause
0e1bd033.wav,Fart Shatter Finger_snapping
0e23a6f4.wav,Violin_or_fiddle Electric_piano Electric_piano
0e26ccc9.wav,Shatter Telephone Tearing
0e2d428f.wav,Squeak Snare_drum Trumpet
0e2ff60a.wav,Chime Cough Glockenspiel
0e373704.wav,Knock Harmonica Cowbell
0e398b30.wav,Gong Tambourine Laughter
0e3b99ce.wav,Knock Knock Telephone
0e3cdc5d.wav,Oboe Meow Oboe
0e3d8062.wav,Meow Squeak Electric_piano
0e45be94.wav,Snare_drum Scissors Cello
0e468de3.wav,Saxophone Cello Saxophone
0e507ea4.wav,Cello Trumpet Tearing
0e5184a9.wav,Keys_jangling Fireworks Snare_drum
0e551b02.wav,Laughter Hi-hat Tearing
0e596194.wav,Squeak Hi-hat Fart
0e596a0b.wav,Clarinet Knock Shatter
0e5a2f7e.wav,Clarinet Keys_jangling Gong
0e5e9be8.wav,Saxophone Bass_drum Tearing
0e666b44.wav,Tearing Applause Cowbell
0e6a2b2e.wav,Double_bass Scissors Tearing
0e70bdaa.wav,Snare_drum Applause Squeak
0e722a03.wav,Telephone Hi-hat Tambourine
0e7aea38.wav,Burping_or_eructation Finger_snapping Cowbell
0e7d6e2d.wav,Tambourine Cowbell Cowbell
0e7e36b2.wav,Fireworks Cough Snare_drum
0e889160.wav,Fart Snare_drum Double_bass
0e8ccc81.wav,Acoustic_guitar Trumpet Trumpet
0e95fbb5.wav,Computer_keyboard Clarinet Gunshot_or_gunfire
0e9c6c50.wav,Flute Microwave_oven Acoustic_guitar
0ea36a9f.wav,Fireworks Gong Acoustic_guitar
0ea9839a.wav,Drawer_open_or_close Laughter Acoustic_guitar
0eb8b04e.wav,Bus Fireworks Cowbell
0ec5f052.wav,Snare_drum Cello Trumpet
0ed387f3.wav,Writing Bus Cello
0edbfc63.wav,Tearing Cowbell Tambourine
0eead3a5.wav,Hi-hat Glockenspiel Knock
0ef36ea1.wav,Flute Gong Bass_drum
0f0b1ca2.wav,Tambourine Finger_snapping Writing
0f0d26ff.wav,Harmonica Clarinet Cello
0f0e6fcb.wav,Fart Bark Electric_piano
