fname,label,manually_verified,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19
006f2f32.wav,Hi-hat,1,-159.9544693545519,-149.5644164842839,-153.05961531098367,-170.9068239873702,-188.28982132540997,-210.01792228776307,-217.87054172771366,-226.06375169553186,-240.7403404332289,-249.88694297431684,-256.5547297226919,-263.66620125007364,-271.0654349906212,-281.73604063284915,-296.86056437631987,-308.04211996313944,-317.31947937266796,-326.69436809856927,-336.5359239454572,-347.1845725727552
0075d39c.wav,Keys_jangling,0,-821.1920809160581,-810.8056894413432,-807.1835040862667,-810.6219707378091,-808.4066817508813,-809.1516042617551,-811.4244175343791,-812.8416262091417,-815.3275972052583,-821.3784373832867,-825.9726982195338,-821.6524233371214,-817.2092913266313,-824.384603640835,-826.2528859864037,-825.7829201500156,-816.6592736365063,-812.3539309587845,-815.9206026076868,-825.5295678984156
00780200.wav,Snare_drum,0,51.58823693186081,59.28162748129462,70.2156342637802,72.03783088073493,60.11512583877943,48.8962940889814,34.0326165155296,29.52119663830147,14.42477284731675,-4.055485105141141,-14.89943764041954,-29.006283284774685,-49.921029740704,-60.70664698923312,-75.25422363594753,-87.77913904806523,-97.95708038573213,-112.40381101806177,-117.14505161628395,-121.64716339286734
0079d310.wav,Writing,0,-770.4897704352127,-765.2778809885908,-765.3543103624393,-761.3292301181575,-756.0115436284083,-739.3451947242784,-648.7401303500721,-577.4458966889044,-565.2745575609923,-594.4845773618076,-681.8677426490623,-718.2293816220258,-709.8003391021103,-649.5070179669093,-551.4320117043945,-527.9996241416812,-592.338908220002,-674.0642534484432,-595.7669873364148,-454.39612462173267
0091fc7f.wav,Cello,1,-591.1228520605897,-583.3774361757893,-602.0197208481443,-628.739068858044,-639.4099111238903,-642.1382696274321,-643.3293249915374,-621.8339595302316,-569.6413135375135,-561.9336717600036,-546.2229991498855,-485.3518097925637,-410.95140870666734,-334.8146876424557,-316.6027448613663,-335.4741871734596,-312.54100042723894,-305.2926001091732,-327.02108190814363,-306.9887183651233
0097160c.wav,Laughter,1,-553.3856463594957,-523.3528658609906,-482.97544584962833,-450.127105154063,-442.27977480341855,-446.2631827679651,-448.2778386889071,-428.9695882680584,-407.8827691621101,-384.3735433598506,-325.867355085605,-223.70023026646908,-166.383987820728,-157.49209135230282,-150.53886575265952,-153.31550251069402,-155.99399290262315,-163.26441687745887,-155.38725159591192,-147.80746576164134
00ad7068.wav,Laughter,0,-664.8553194542218,-570.0407260133233,-457.1980648637672,-398.82376788307647,-376.18228291788637,-363.1581728884497,-354.19113738335545,-352.35593241028226,-345.2405797542466,-326.1219443798081,-319.5667721780524,-327.5157878670469,-325.60605383933614,-313.2096963315361,-320.52869871733435,-323.63311967988005,-326.0210768858774,-323.0983849672451,-331.05349612963386,-307.93000852086703
00c5808a.wav,Tearing,0,-430.26769705508315,-413.35719481549444,-422.298755588515,-384.80957478352394,-362.1769577853645,-417.70718015104165,-477.40167072905314,-496.83740456554847,-493.8746656401262,-464.35103389487625,-400.38549882218666,-341.8743377832443,-303.1035321879635,-318.8165343660129,-347.9907614676803,-352.7095344889877,-375.5688490321504,-387.1000954348537,-353.7353659218561,-325.42823982940746
00c82919.wav,Fart,0,-414.2426230498119,-388.08167646795744,-272.66168143227515,-127.54718123068037,-54.265158193841835,-40.7025134462384,-41.71346890232677,-51.70975686296776,-66.76013177370955,-56.80591621420613,-74.65649657376771,-83.46364784960397,-43.45705848608215,-36.88132873499283,-57.90432190235792,-43.223685830089416,-50.18617491022223,-39.64963295567203,-32.502047426507254,-78.81546769867438
00c934d7.wav,Laughter,1,-590.9763171091181,-587.3907151314085,-587.9483069751619,-586.0774855946407,-583.41169196904,-558.4365457238146,-503.5482777177912,-437.2421022145878,-373.8916373336116,-335.4061723795383,-341.7925318717864,-377.8080778233586,-415.56002070651266,-428.95781915731624,-442.94724951900986,-454.7185269549995,-457.88821996554947,-456.9525840327286,-456.301841552247,-445.4773058001699
00c9e799.wav,Oboe,0,-634.1694314953303,-637.4989361646327,-638.8236210936115,-638.2109573151482,-638.7100532027116,-628.5647844145205,-622.7866259050905,-615.284193764874,-607.285540064438,-587.5595622754457,-574.7679052617485,-612.312381773021,-638.5515999420675,-637.571210376882,-509.98618228342,-461.5847064638456,-449.1471917764143,-448.76428102798695,-473.80638849437224,-491.08912501468944
00cb787c.wav,Flute,1,-613.4333097209078,-613.1633118382866,-613.1030336542622,-616.0521020167009,-618.14434358482,-619.8198068087491,-619.8073473254735,-619.0974507530864,-617.5397754959448,-616.174109663685,-615.8099344038646,-564.2897314443037,-462.1284817382772,-456.41916907307535,-513.5204810012493,-525.1310197043531,-520.3788123197058,-502.3236345421218,-490.2191333188571,-486.2110922255512
00ce569f.wav,Hi-hat,0,-313.62127128104305,-263.48988749163993,-237.118923335303,-234.09634155539072,-243.69639977038358,-255.38011168916216,-267.84927332189665,-276.8190796020229,-285.0597366923805,-295.8823401908494,-300.0372954077198,-301.8029014461491,-306.2085954486368,-307.57484735748596,-305.2068230455531,-312.8071920836929,-327.8283204235299,-336.0708522919877,-346.8952426945655,-356.59402368706816
00d1fe46.wav,Cough,0,-646.4202170684308,-646.4202170684308,-646.4202170684308,-646.4202170684308,-646.4202170684308,-646.4202170684308,-646.4202170684308,-646.4202170684308,-646.4202170684308,-646.4202170684308,-646.3727105031398,-643.6691931337195,-613.6308489953116,-600.7484264772563,-596.3517581015751,-588.2157196001893,-529.4549710430372,-493.24543452981203,-500.7747160879853,-524.1512828578561
00d3bba3.wav,Telephone,1,-887.9062897871923,-871.4470291048159,-552.8236734277232,-470.63199570967225,-505.08049340575593,-663.682190076221,-711.5546389373127,-718.9111700503787,-772.5416275665698,-577.6146103760915,-499.7604487854883,-528.961537766408,-677.817769640249,-756.0336469985922,-770.6350555268621,-817.6520365720303,-582.0471505530065,-500.26114461724416,-532.3397509830007,-685.2971842293292
00d40fa2.wav,Snare_drum,0,-357.87852063552674,-271.97619885761054,-258.7200655323259,-312.7965394237688,-381.50354514200836,-441.82458951217563,-457.6316590713405,-326.62511046255656,-230.83484647734372,-213.63669346871686,-209.65941686097315,-194.12123490843192,-189.87659917967687,-181.44887771443163,-142.4238788702615,-125.8994879571454,-126.40175452373319,-122.59025117741177,-110.86900703451427,-61.995595226555324
00d9fa61.wav,Flute,0,-508.8306358266199,-493.99169315754244,-493.03465583934593,-495.0885130715094,-496.85089025869246,-508.4694645871393,-525.646234449073,-539.760105436335,-554.422351803801,-570.9773620452373,-595.2894531115774,-626.0715927205997,-653.3518899620514,-670.1303574523448,-674.6879911879107,-672.3226332572523,-662.9614761505514,-643.5415143720601,-599.3869814940648,-543.9015056437752
00e2b4cd.wav,Bark,1,-770.2725918192598,-759.8069639247705,-754.5420365938986,-755.1389190353218,-731.7577787524064,-679.4219010768677,-598.4868764906098,-530.7733569659503,-486.0773434976691,-470.9026043446691,-480.1421965898765,-497.14821357653284,-523.1962244830565,-565.2762107602772,-608.0134392248007,-627.7097020104791,-645.3510331312364,-658.8358464120632,-672.7404172087817,-683.2260690416701
00f88dc5.wav,Glockenspiel,1,-326.332304246626,-380.26176509319015,-552.943465268538,-592.0393967786073,-635.5921685345347,-686.8763198765654,-721.9539025265432,-740.6461962513129,-753.5292430814367,-758.6101399933456,-763.4146064082398,-767.6022735559052,-771.7510084503667,-776.9762352638144,-779.3499524134705,-779.3313715646681,-780.0477017082166,-785.7272691271066,-788.357935093809,-791.2510199731344
00fbb28b.wav,Chime,0,-426.5202330757136,-419.936862200723,-431.47747339020293,-429.70229346209055,-421.39480278116037,-428.81167836862846,-422.1996194817803,-425.63758603822725,-431.00976617159085,-424.9903335648472,-430.33768239315066,-424.8040900857011,-430.9073160945325,-428.3958257585197,-420.2383715729782,-433.91573505671954,-430.74767694229826,-417.6879537033834,-422.4728386165687,-416.6269941488161
00fcbab2.wav,Bass_drum,0,-255.45937993767302,-266.80950720896357,-202.23590873830057,-67.48828709775624,-13.963215843046948,4.13455608059728,-2.128565489479401,-5.984055828956761,-8.139246011278178,-9.035277634648004,-41.234343600148044,-63.719644317062546,-77.35252962139376,-87.59834367950528,-100.20518008337352,-134.1575626800287,-192.371343576079,-269.16136437617143,-260.2200170773617,161.154631829324
010aa387.wav,Fart,0,-100.29065902783312,-72.12007776496358,-83.8113741943126,-84.66562892371205,-99.01780826800628,-73.0064708115601,-61.1618419444901,-77.73986664085703,-79.72253525804109,-85.77389555166312,-116.6262417784822,-144.43891233704352,-87.19648634930911,-77.58813341079589,-82.37897601965075,-76.37828715351148,-72.19612886839755,-73.37649698374668,-68.36012682876606,-53.08633690027214
011a2185.wav,Cello,1,-637.8107429330908,-632.402830328443,-639.5991824079509,-650.2288891810373,-657.0838638330662,-656.7692258920976,-656.8193604997322,-655.9457718941027,-653.685799077399,-656.8572056061795,-659.1549631175169,-659.1586673818264,-660.7174760412565,-663.0509616806742,-652.5595091832005,-636.3175270086305,-525.7528299223617,-401.35877323881994,-340.740418168468,-323.9377409145999
0120d246.wav,Bus,0,-697.0287893328717,-661.0808786030157,-616.035273306003,-580.2430395706176,-562.4203166813511,-552.1833040261314,-533.1213250719163,-519.27017204691,-504.2919834986264,-492.4092732954511,-489.19825083455953,-481.8194824525727,-464.6166565650153,-450.09040219571295,-439.6504987057867,-432.41977455833126,-427.02065032686454,-433.8499858400614,-439.60588739901164,-435.6158447403294
01235a12.wav,Squeak,0,-543.7849093174316,-543.7849093174316,-543.7849093174316,-543.7849093174316,-340.65345268401643,-97.82837202329242,-37.1909312627601,-49.259112772346434,-36.29273248092115,-54.463933331178744,-73.42118539120813,-38.8341432799012,-33.41785582989495,-37.267124064861285,-25.360634104733,-30.8608563644279,-57.27153640436789,-47.68624323883223,-38.28804425192181,-33.13565726947455
01257aad.wav,Scissors,1,-626.0621211767212,-640.2826779105767,-675.8153192575551,-697.6934832165604,-708.5945633844145,-719.1216339392387,-726.4579438418731,-731.6361741259168,-721.262089788152,-714.5930654534257,-718.8356213758452,-723.5832507056958,-723.1276752136251,-714.4912663867755,-711.6558387578964,-723.4315564077879,-731.2608074288062,-730.9291761994675,-731.1282903387489,-732.7906093749393
01302128.wav,Harmonica,0,-441.11421641108836,-414.17732454748483,-412.2544391488648,-419.5789943898423,-417.52732129406337,-422.9749710308976,-427.546072463335,-421.82200806416176,-420.55286722299337,-420.66492135829844,-426.49773054262215,-433.2063895980938,-429.87205769936963,-422.5803776575211,-419.4767728240033,-419.195415484344,-422.6823460360526,-428.42064081869574,-427.274944670314,-429.9317370781868
013264d3.wav,Squeak,0,-422.1704903842702,-410.88751571414343,-410.14411239065237,-414.0032409487284,-409.14443568126444,-410.35965599520694,-412.4237336093998,-424.58484949352754,-426.9188455666457,-427.3070279056437,-426.0739932725872,-430.7338735215242,-434.81981585728823,-429.36635594277584,-405.41905587610097,-403.54825600833925,-414.738900283763,-415.0626285786986,-410.4871175438478,-391.11481480353626
013c3135.wav,Clarinet,0,-705.2205329059728,-705.4238934477623,-708.0378406654328,-712.5993218148991,-706.1323011998762,-683.8077177269384,-659.8760190858053,-643.6446856953195,-636.5436412615408,-634.9275138869672,-643.1425875201637,-647.0723715701514,-647.0441199268986,-642.8122388661944,-628.5217418869757,-597.2543106512009,-564.1410208447691,-542.4265764159225,-538.0900685086681,-533.3510605649902
01506d76.wav,Scissors,0,-679.5983925283748,-613.9966553033056,-579.6881765425408,-568.3525167892254,-562.2156223082635,-563.0834458113158,-563.3453203381749,-559.0946166736455,-546.0817152465677,-524.5108856611056,-507.92379171656785,-513.2171782840749,-521.8615376673888,-474.6137664293987,-252.24169936816628,-63.59056764575723,-50.59160047630688,-187.9987628541657,-454.9854144018915,-525.3478116512956
015cf474.wav,Clarinet,0,-668.4015492761166,-667.1859183610143,-666.6432129367989,-665.315995437348,-663.8025173432276,-655.9484594136189,-650.1308031610109,-643.6119588621599,-639.2110038493013,-633.0328841243285,-626.9061919140229,-623.5245051639115,-612.4589441502333,-581.2099703596422,-571.1407222750794,-571.9746165165974,-564.3801353478136,-548.1408083008439,-520.8974620093073,-497.93540434824814
0160d55e.wav,Gong,1,-511.81908404227585,-485.91764013411745,-191.52554323657142,-13.448981431924457,54.99914688331391,72.29738091572959,65.36075895318875,69.55689194388361,68.46340012968673,59.68240453324932,57.858278564934366,59.54410509522557,56.43172108240693,54.630091683359645,52.89854854051473,49.44753621293207,45.86127625365495,41.26586442065238,38.31267793224044,39.2214623498673
01638f61.wav,Writing,0,-733.4336572020802,-734.5116216235034,-739.1509183035632,-669.7067449478387,-491.76055548472516,-410.15841343897705,-381.3371397598974,-373.5215946527656,-376.3592861467046,-361.27403659759267,-348.08279805524495,-343.89274303498706,-344.5854881607257,-343.2317185700574,-337.49929367594217,-335.6266960077795,-332.0639577575788,-337.7009882145502,-346.577079913929,-349.26568399953015
0172a2a5.wav,Microwave_oven,1,-501.6376854466683,-386.4957611135657,-114.8623504916004,-34.82416457173053,-60.37670961125574,-144.1403625090993,-219.0630009201535,-295.069649644295,-368.7793691731721,-450.7407170636967,-515.3188770670736,-563.1473694703365,-594.6545368944059,-599.2025029057443,-600.1004377411936,-605.7120102309885,-608.7880188866685,-610.9159387292601,-615.8053760300844,-624.3514864506376
017ea24e.wav,Burping_or_eructation,0,-348.2969349934545,-341.2431560330153,-264.4301683432412,-180.12450793398568,-156.09970030667637,-154.9321258993033,-159.40394757784054,-179.30338131249644,-180.20032435348466,-173.70801758423465,-180.00110157929893,-182.95176849016332,-201.23119441952792,-217.07128834072662,-225.01268857930933,-226.80963832121884,-229.327806804717,-242.3020630751446,-263.749010941751,-293.66707874281207
01811e48.wav,Harmonica,0,-287.9092482822884,-283.60909809802797,-283.7313472352883,-283.7846895543586,-281.99315719331145,-280.03735223232326,-267.8379310928576,-264.0655498864506,-268.71288611618195,-269.89331063905166,-269.96771492479763,-269.8535015661301,-272.41215850012816,-269.08961559978354,-266.60496416056696,-259.37500376335606,-263.0153772973303,-264.02045482611334,-260.63468462760693,-251.16818268392242
0184c390.wav,Cello,0,-526.0003024728421,-520.3702307855837,-511.1404583786622,-496.0636958051891,-487.0326343633545,-469.67628838851437,-449.07285232247756,-433.0571940868885,-427.0012416359624,-414.9871368765044,-404.60752230828297,-396.8135177820396,-385.4494611769251,-374.7009837156618,-356.1930661254646,-344.9970044678924,-340.034094137487,-335.6642986067768,-333.6956827684594,-330.44318036366263
018863f5.wav,Double_bass,0,-674.2966862124891,-673.7297458565954,-639.7748055049096,-493.014130085234,-426.82495980620143,-384.8996778763253,-358.37475349110673,-348.7719941601319,-338.54662306529696,-333.86461657579446,-331.8286330198906,-327.3692456341805,-324.60685282645255,-324.64468003361225,-324.7275978044992,-321.92150159614994,-318.3403757604549,-312.550607660834,-311.37327578800154,-311.0110251291785
018a10bb.wav,Double_bass,0,-66.17008991768375,-78.75850750058484,-153.7976634373864,-206.74822935060703,-252.42760672539438,-287.27896665611496,-313.25413065882975,-345.46680747191493,-377.33411429632946,-403.90497878454255,-421.7052407284062,-440.1407166528264,-462.7809262394439,-482.4158311295529,-502.6972023301876,-525.6694942521536,-547.5259003837735,-564.208017466562,-581.9645031511653,-595.8411698362283
018b1df6.wav,Shatter,1,-395.15959532399364,-275.5473325922046,-208.89826747552115,-182.1028196896834,-174.1664319996479,-179.01951648132183,-193.19370908276804,-217.18149751485012,-244.35303795682256,-260.5566655308894,-268.7290952269313,-279.2544487721551,-287.94928043436386,-300.2913183837448,-303.7544735110504,-308.74058629631617,-305.632951800621,-298.8870733835248,-298.4097955417919,-310.87650122081914
018d1dc4.wav,Hi-hat,0,-133.61700247189938,-163.02668173656605,-271.75301118791145,-395.97085556764995,-483.37109604021515,-413.0035841026623,-406.90673180034605,-483.39968321832947,-565.627086673626,-232.4450450559705,-95.39065421687678,-73.88706667372412,-113.35884756977572,-166.2062962659632,-194.70098412733034,-163.35137994025584,-175.73143161283775,-255.82248369522014,-322.9582483028416,-250.309401563732
0193042e.wav,Fireworks,0,-301.9642004532359,-300.5820717156794,-294.33131182026085,-284.22567205860474,-294.13399827664836,-299.0996005479861,-278.77994210345133,-276.3468960542816,-287.70123281698324,-289.3807419083402,-296.79303194585196,-310.3992586122235,-309.8713568503278,-306.9111338992638,-303.8530089940329,-284.352804854355,-245.47595362110818,-239.07979331285688,-259.17808838551565,-276.9143968528342
01974c7c.wav,Hi-hat,0,-62.56058079773906,-62.21918507088647,-72.99870582296184,-77.65397801354715,-94.26369900606898,-123.22944225632533,-129.89341712330946,-143.80898471042636,-164.8240081049242,-175.75968312043588,-190.21334018855387,-197.52831896425178,-218.00506891759602,-284.37987429015294,-321.3223037527873,-324.43241709458295,-331.1113184624771,-346.4178384542687,-349.6397394955334,-368.5880968366466
019aae9d.wav,Fireworks,0,-531.246564854265,-490.5344868873795,-447.5399825476898,-403.0163073599525,-355.669237214349,-315.5670566581036,-304.33780931096453,-302.8832512138908,-310.59643789196014,-304.2074353935562,4.396370087950935,85.8420718799698,63.73377573867338,14.82361550313649,1.3026024252472292,-27.470804973641737,-57.10933028307757,-81.69806163773404,-103.9010125193327,-125.36180396419411
019d2a2c.wav,Bark,1,-525.3980936968286,-484.9956050736756,-389.8422227705054,-166.0871926406105,-73.06003563725677,-63.8521905061844,-77.79586610552985,-86.10783694282553,-110.31582388442725,-130.81267191618196,-178.3855298638172,-233.10606656262493,-260.6264119928701,-277.6317938538226,-312.3833644790502,-352.7062102768152,-388.70495958181095,-412.0102082411547,-290.50342350022163,-120.41542705535194
01a36643.wav,Tambourine,0,-718.9338392571328,-662.764181201656,-634.0057192654089,-628.9075877681441,-628.339255387242,-609.8971258051134,-568.8986038829305,-518.2579647049549,-501.2097680831423,-518.7857486285061,-557.6608310742723,-586.2079137860487,-550.512727640904,-512.6101562829871,-483.04532401088636,-340.68652207407723,-178.65861709581603,-149.96046608451394,-234.1008375494271,-365.1442380122339
01a39e95.wav,Shatter,0,-545.1386544555764,-454.39558713839983,-392.67995055203926,-382.2588827730365,-369.6454533129208,-387.2574343834272,-438.50677512114714,-343.19849516186207,-251.97377785740323,-223.77798898719595,-206.5024413145827,-174.308546490548,-171.67107270875093,-211.12100211188167,-259.2497304344077,-264.2564231084127,-239.94788701588112,-202.54505352276357,-220.6915540922309,-217.45093041890146
01a59a61.wav,Gong,0,-367.0753315922793,-384.0833264797877,-411.36485111906,-404.90258583486565,-399.38149397762464,-390.47163259005555,-384.855958604057,-381.0527205327034,-377.8846974812094,-375.67057780332107,-378.4870969227155,-372.9121945133449,-369.46452526957995,-370.3927054138529,-372.5916322246818,-372.3656592131144,-371.2241513591559,-371.9959286578698,-371.75821535161793,-367.04635548531877
01a59c11.wav,Harmonica,1,-709.3708613866877,-717.2664125688485,-630.8938975923384,-513.3826252563886,-443.01516022002664,-390.82732273019013,-355.8240122434833,-338.6418638810972,-320.8292492409459,-314.53267024501116,-311.3919756626198,-317.35354595745355,-296.00068278761734,-236.91092876401078,-186.9950930700376,-180.06594418263208,-208.7044365840727,-224.38409273937685,-228.3381143235684,-231.95363307948446
01a5dc85.wav,Double_bass,0,-642.5996086037168,-598.767437781936,-534.3026667791792,-295.95632387466526,-225.08106638057424,-252.2444700247114,-316.7708938253179,-365.91513970906334,-408.6142562369591,-440.2485231800299,-465.1474193044573,-488.4104190594791,-506.2991106862366,-523.118780889334,-541.3266338523255,-554.8071913149247,-567.3162077034823,-573.4184931039838,-583.4947557513378,-591.9449065245814
01b9f44a.wav,Telephone,1,-678.0186712746678,-678.0797729853585,-678.1152731795233,-678.1685615919116,-678.0548435010705,-678.1589723743285,-678.2228123510888,-677.9594145455355,-678.148254821335,-678.1151798870737,-678.1157600649931,-678.0512781021791,-678.0090305670313,-678.0602097236118,-678.1392908875072,-678.1698968670039,-678.1196536369439,-678.1803039772176,-674.7700059974313,-516.87485823217
01c2f88b.wav,Bass_drum,1,-146.67530156905067,-161.01630944808872,-197.91918660508662,-227.3545300443633,-267.1689401387405,-309.77297150232914,-355.1468375377961,-382.3973892622302,-399.17524690493406,-415.93626093187737,-428.4476461982626,-438.1880519714548,-445.28353218906176,-448.20477781876775,-450.24422169077417,-453.96092389345733,-457.1939272973636,-461.54831878654505,-467.00113913860116,-472.1533454000823
01d2475c.wav,Writing,0,-458.323072267578,-457.8319872775108,-471.84448015961016,-487.52220436718216,-499.858906922406,-504.451680748688,-427.77350814370425,-402.04110822963435,-410.36928968925366,-368.71339257723304,-389.1966890587943,-467.0333201059354,-494.19737153448864,-502.3182242077751,-508.6407596193952,-514.9535025173248,-516.4812722100365,-520.8364686403652,-521.5813862459373,-516.1387327422393
01d4dafd.wav,Harmonica,1,-444.7311291825373,-347.8427563358589,-266.70533932686834,-240.89335503547002,-232.17937338474653,-237.2335992096269,-244.5558048906711,-225.08850913489252,-191.45989125252936,-178.04604510097823,-178.03702190672774,-183.73834389165168,-179.65255441214177,-168.73182987689552,-167.74748817142108,-171.99854531130043,-171.79082894302908,-182.10482572648974,-185.90321537094758,-183.7675935630578
01df7ada.wav,Shatter,0,130.84351758756458,135.96396916468015,128.38990447475587,104.26307812701543,82.53576628111365,55.96549697510663,21.60357454277617,-13.63822537942231,-33.1405201254739,-35.789779713009025,-65.81230149118767,-113.48651493334593,-140.0337489491028,-155.44787931613052,-174.92661553531588,-208.1356060352877,-218.83087752242838,-231.7313422177456,-259.8104348147868,-291.19052155503897
01e723f5.wav,Harmonica,1,-693.2966849958298,-636.875268399634,-605.7780395895516,-627.5011455467784,-600.4081749909775,-563.4002877588929,-524.7340237891689,-497.4332027560588,-492.3577732538185,-489.6821444233234,-491.85411341683994,-495.2941074541452,-502.39712145955235,-511.9897401096531,-525.5531303534495,-491.38973575947665,-489.86434428116837,-550.3064732921441,-613.7220515870424,-594.0890095380093
01ec7a01.wav,Tearing,0,-601.2313785867682,-600.7439041109935,-608.6565970570205,-587.6162221697517,-574.6339372094951,-587.1762481244763,-591.9559090986228,-599.1470124487512,-605.6779540533232,-610.2202261092209,-604.6149170261127,-605.118264904,-551.4150681310153,-534.7561221460987,-574.3528689308612,-594.4163625506974,-598.9178798765386,-590.5363295885338,-589.0786073719413,-590.8148414377615
01ee18fd.wav,Microwave_oven,1,-293.6903203749582,-272.7861843705537,-230.0364405436926,-134.70358201589372,-85.13581476885587,-61.22065213669008,-24.283552824097203,24.23735248267116,24.280850825482723,-40.423700123734356,-104.96358852354052,-145.72753472015904,-191.54559966236656,-233.21579234624377,-270.32373722087584,-299.9211899795369,-325.42695351401505,-342.857918855307,-359.723830253393,-374.194033926496
01f2e70b.wav,Gunshot_or_gunfire,1,-486.2524427867869,-472.15347903879695,-471.1345611921394,-473.4006142262765,-477.77529603771666,-480.13612479661646,-479.09917961429386,-479.40072322970656,-482.0920437828554,-478.9427673782457,-475.72876867448036,-476.44996815620783,-475.6654027460667,-480.08618427311194,-481.70527640950263,-472.82315824461796,-467.16546202309297,-470.6879471070091,-474.56889773280955,-475.4977977737996
01fc4661.wav,Oboe,1,-685.7992764549248,-689.0367401433818,-690.0304931088963,-688.4672549136393,-682.4767981779614,-666.6602479212725,-667.9398318291946,-687.1892775480694,-689.1539701860181,-684.2482850457213,-681.1184423632643,-679.4569553950535,-662.3163903386012,-675.8309490951438,-680.9135672377338,-569.2351533864199,-500.95899559123876,-505.08843377554723,-537.4523873189838,-550.8287752929974
